n,rep,auc_vanilla,auc_causal,auc_cfs_iamb,auc_cfs_hiton_mb,auc_cfs_cg
150,0,0.6883653152503246,0.7028092787636865,0.7373619327017105,0.7225652863944597,0.6000634829029
150,1,0.6526475256095802,0.6526475256095802,0.7290171371775758,0.7290171371775758,0.5155032943779156
150,2,0.6405947514387854,0.626332900495359,0.6763404350823193,0.6680511069430417,0.5097702752528895
150,3,0.6579688677279213,0.7116795716507158,0.7474864938520978,0.7309078375735425,0.5934192596867536
150,4,0.6855836098687056,0.7013363471681175,0.6854723544782699,0.7247156895750172,0.4964138572275926
150,5,0.6997983295660397,0.6910251847576909,0.7506721813430802,0.7506721813430802,0.6006309815803396
150,6,0.7336077846711232,0.7472348065855496,0.7288959425447666,0.7465271966527196,0.6043594799531894
150,7,0.7048253418618445,0.7048253418618445,0.7104855800830409,0.7445313326600299,0.5952083233139358
150,8,0.6946193430481412,0.7278731624424887,0.7539540550505779,0.730658715272768,0.513169175523814
150,9,0.6844062905785601,0.7214238766251464,0.7475034867503486,0.7475034867503486,0.5999775565494798
150,10,0.6910056268936661,0.7370124561150387,0.7602138540213854,0.7574619663668862,0.6043594799531894
150,11,0.7316410971641097,0.7275397168919028,0.742278010227801,0.7397540839064429,0.5768861315506821
150,12,0.6847253081966687,0.6892293880953525,0.7092268231295789,0.7102941695121754,0.6125327433912053
150,13,0.674068516648231,0.7216444636816878,0.7401458824283813,0.7401458824283813,0.4870373042209718
150,14,0.7226557014379841,0.698182401128585,0.7473643373571234,0.7423703489956555,0.5229452219496947
150,15,0.7011981596370573,0.7058471601019575,0.7539883614678017,0.7539883614678017,0.6018150339056414
150,16,0.6371907212363134,0.6654826143413649,0.7253088379101942,0.7253088379101942,0.6066801327369786
150,17,0.6838577085237019,0.6921053559691562,0.7355783196267975,0.7355783196267975,0.5774462559515221
150,18,0.6984193398419339,0.7102082431587552,0.717148078680325,0.7072460283108098,0.5934192596867536
150,19,0.7001558216707546,0.7039340162554706,0.7253072348065857,0.7207999487006844,0.5925856458102887
300,0,0.7192289071642699,0.7190980939098095,0.7356030074223697,0.7380714663588707,0.5454643389602271
300,1,0.6991744016415781,0.7089373026178682,0.7384289584635855,0.7328501579057054,0.7217060228602574
300,2,0.7446547716378911,0.7493053752063995,0.7509405408871576,0.7440600201991054,0.6043594799531894
300,3,0.75053207008769,0.740174417672614,0.7429394507767036,0.7528283556966286,0.5189525321021496
300,4,0.7223716314785424,0.7341387325862869,0.7494345853572517,0.7461899036534732,0.5198714310905914
300,5,0.7306651276872024,0.7576264447971274,0.7624440917616506,0.7584574937078182,0.5999775565494798
300,6,0.7155218903797754,0.7317039388255664,0.7510162073774829,0.7455101877234327,0.6085586495455201
300,7,0.7242267429743984,0.7196162169961046,0.7425902948107536,0.7475265714423123,0.6018150339056414
300,8,0.7308802641914746,0.7335648214944133,0.7509402202664358,0.749312749482999,0.624160374485003
300,9,0.7571192228153706,0.7402529697494348,0.7588210776062456,0.7591551643982752,0.6067497074335914
300,10,0.7399791596530884,0.7150762275765883,0.7507715737668125,0.7471895990637876,0.6349524679780054
300,11,0.7302851921319675,0.7444415588579492,0.749217525128649,0.749217525128649,0.5067073854983247
300,12,0.7251142211321118,0.7251142211321118,0.7402718863720164,0.7365084403404992,0.5984562112249314
300,13,0.7156674521874349,0.7390189005915452,0.7458641530002085,0.7354644992705879,0.5479273473444588
300,14,0.7481479344010005,0.7452684396992577,0.7502665961301078,0.7473348402507254,0.6067497074335914
300,15,0.7043011269818369,0.7366793311851745,0.7286740730053384,0.7416524791997307,0.6049407653216627
300,16,0.7017335962423251,0.7274605235736384,0.7170454800493755,0.7561826896872345,0.5004536783212299
300,17,0.7312175571907212,0.735043524262973,0.7591080331521827,0.7563192741146859,0.6085586495455201
300,18,0.7362708603857068,0.7556559098414531,0.7505115503615,0.7505115503615,0.6049407653216627
300,19,0.7114115327273601,0.7387665720835537,0.7613850815178185,0.7558377017906668,0.6018150339056414
