seed,arm,mu_rel,auc_source,auc_SD
0,vanilla,0.0,0.8118241814520666,0.7982178615663478
0,causal,1.0,0.806875453455574,0.792199391087983
0,causal,4.0,0.806875453455574,0.792199391087983
0,causal_ce,1.0,0.806875453455574,0.792199391087983
0,causal_ce,4.0,0.806875453455574,0.792199391087983
0,cfs_iamb,,0.6331151573466592,0.6388972908051636
0,cfs_hiton_mb,,0.6331151573466592,0.6388972908051636
0,cfs_cg,,0.6333188486205252,0.6342299956506284
1,vanilla,0.0,0.8178555124400824,0.784078455389376
1,causal,1.0,0.8204690709883588,0.7846966403890077
1,causal,4.0,0.8095488092520733,0.7763966146025197
1,causal_ce,1.0,0.8204690709883588,0.7846966403890077
1,causal_ce,4.0,0.8095488092520733,0.7763966146025197
1,cfs_iamb,,0.6375161683025183,0.6075653411183968
1,cfs_hiton_mb,,0.6375161683025183,0.6075653411183968
1,cfs_cg,,0.638758274366583,0.6130484233404552
