feature,q
x9_missing,1.0
x6,0.87
x22_missing,0.86
x16,0.59
x15,0.47
x22,0.47
x1,0.45
x18,0.32
x10,0.19
x20,0.09
x7,0.09
x8,0.08
x17,0.06
x5,0.03
x19,0.03
x3,0.03
x14,0.02
x18_missing,0.02
x21,0.02
x23,0.02
x11,0.01
x4,0.01
x2,0.01
x12,0.01
x4_missing,0.0
x6_missing,0.0
x2_missing,0.0
x1_missing,0.0
x3_missing,0.0
x5_missing,0.0
x7_missing,0.0
x15_missing,0.0
x13,0.0
x13_missing,0.0
x12_missing,0.0
x8_missing,0.0
x10_missing,0.0
x11_missing,0.0
x9,0.0
x14_missing,0.0
x16_missing,0.0
x17_missing,0.0
x19_missing,0.0
x20_missing,0.0
x21_missing,0.0
x23_missing,0.0
